Timestamp for sample frequency every 30 min min, Temperature_Celsius,Relative_Humidity
2021-12-03 10:56:00,26.1,35.2
2021-12-03 11:26:00,24.8,35.5
2021-12-03 11:56:00,24.8,35.8
2021-12-03 12:26:00,24.4,36.3
2021-12-03 12:56:00,24.3,36.5
2021-12-03 13:26:00,24.4,36.3
2021-12-03 13:56:00,24.1,36.7
2021-12-03 14:26:00,24.3,36.4
2021-12-03 14:56:00,24.4,36.4
2021-12-03 15:26:00,24.3,36.6
2021-12-03 15:56:00,23.8,37.6
2021-12-03 16:26:00,22.9,38.6
2021-12-03 16:56:00,22.8,39.1
2021-12-03 17:26:00,22.8,39.3
2021-12-03 17:56:00,22.7,39.1
2021-12-03 18:26:00,22.7,39
2021-12-03 18:56:00,22.8,39
2021-12-03 19:26:00,22.8,39.1
2021-12-03 19:56:00,22.8,39
2021-12-03 20:26:00,22.8,39.3
2021-12-03 20:56:00,22.8,39.2
2021-12-03 21:26:00,22.8,39.1
2021-12-03 21:56:00,22.8,39.1
2021-12-03 22:26:00,22.8,39.2
2021-12-03 22:56:00,22.8,39
2021-12-03 23:26:00,22.8,38.7
2021-12-03 23:56:00,22.8,38.7
2021-12-04 00:26:00,22.8,38.1
2021-12-04 00:56:00,22.8,38
2021-12-04 01:26:00,22.9,38.2
2021-12-04 01:56:00,22.8,38.2
2021-12-04 02:26:00,22.8,38.1
2021-12-04 02:56:00,22.8,37.4
2021-12-04 03:26:00,22.8,36.7
2021-12-04 03:56:00,22.9,36.2
2021-12-04 04:26:00,22.9,35.9
2021-12-04 04:56:00,22.9,35.8
2021-12-04 05:26:00,22.9,35.9
2021-12-04 05:56:00,22.9,36.8
2021-12-04 06:26:00,22.9,37.2
2021-12-04 06:56:00,22.9,37.1
2021-12-04 07:26:00,22.9,36.7
2021-12-04 07:56:00,22.9,35.9
2021-12-04 08:26:00,22.9,35.4
2021-12-04 08:56:00,22.9,34.3
2021-12-04 09:26:00,22.9,33.4
2021-12-04 09:56:00,22.9,32.2
2021-12-04 10:26:00,22.9,31.4
2021-12-04 10:56:00,22.9,30.7
2021-12-04 11:26:00,22.9,30.5
2021-12-04 11:56:00,22.9,30
2021-12-04 12:26:00,22.9,29.2
2021-12-04 12:56:00,22.9,29
2021-12-04 13:26:00,22.9,28.7
2021-12-04 13:56:00,22.9,28.7
2021-12-04 14:26:00,22.9,28.5
2021-12-04 14:56:00,22.9,28.1
2021-12-04 15:26:00,22.9,27.7
2021-12-04 15:56:00,22.9,28
2021-12-04 16:26:00,22.9,27.4
2021-12-04 16:56:00,22.9,27.1
2021-12-04 17:26:00,22.9,26.9
2021-12-04 17:56:00,22.9,27
2021-12-04 18:26:00,22.9,27
2021-12-04 18:56:00,22.9,27.2
2021-12-04 19:26:00,22.9,27
2021-12-04 19:56:00,22.9,27
2021-12-04 20:26:00,22.9,27
2021-12-04 20:56:00,22.9,27.1
2021-12-04 21:26:00,22.9,27.4
2021-12-04 21:56:00,22.9,28.7
2021-12-04 22:26:00,22.9,29.8
2021-12-04 22:56:00,22.9,29.9
2021-12-04 23:26:00,22.9,30.1
2021-12-04 23:56:00,22.9,30.2
2021-12-05 00:26:00,22.9,30.7
2021-12-05 00:56:00,22.9,30.8
2021-12-05 01:26:00,23,30.8
2021-12-05 01:56:00,22.9,30.5
2021-12-05 02:26:00,22.9,30.6
2021-12-05 02:56:00,22.9,30.3
